sample_id,doc_id,chunk_id,section_title,source_text_snippet,subject,predicate,object,reason_for_novelty,legacy_reason,human_label
138|Predecessor_Relation|relates|Fact_Sheet_Version,,,,"SECTION_TITLE: Modeling Version History with Successor and
CONTENT:
Predecessor Relations In LeanIX, the Successor and Predecessor relations are used to model the version history of Fact Sheets over time. These relations should be applied whenever a new version of an existing Fact Sheet is created to replace an older version. Successor relations can also be used while the previous version is still active and in productive use.",Predecessor_Relation,relates,Fact_Sheet_Version,unknown_relation,unknown_relation,
52|Initiative|linkedTo|Execution,,,,"SECTION_TITLE: Definition: Initiative
CONTENT:
An Initiative represents a targeted, time-bound effort that drives change within the organization. It requires dedicated resources, impacts the enterprise architecture, and contributes directly to the achievement of one or more defined objectives. Initiatives serve as the operational link between strategic intent and execution, enabling measurable progress toward business goals.",Initiative,linkedTo,Execution,unknown_relation,unknown_relation,
206|Digital_Solution|developedBy|Agile_Release_Train,,,,"SECTION_TITLE: Business Architecture
CONTENT:
• Digital Solution (if developed under SAFe/ART) • Business Capabilities • Processes (via BIC-LeanIX sync only) Digital Solution
• If the product is part of an Agile Release Train (ART), link it to the corresponding Digital Solution.
• If the required Digital Solution is missing, request it from the responsible Program Management team.
• Always set the Support Type to indicate how the product supports the capability.
• Manual linking is not allowed.",Digital_Solution,developedBy,Agile_Release_Train,unknown_relation,unknown_relation,
295|Digital_Solution|linkedTo|Initiative,,,,"SECTION_TITLE: Modeling Guidelines
CONTENT:
These IT Products represent the technical building blocks that deliver business functionality and are developed and maintained by agile teams within the ART. To complete the modeling of a Digital Solution, the responsible ART must be explicitly assigned. Optionally, a unit from the organizational structure (e.g., a department or business unit) can also be linked to the solution. Additionally, it is possible—but not mandatory—to link the Digital Solutio",Digital_Solution,linkedTo,Initiative,unknown_relation,unknown_relation,
13|Digital_Solution|serves|External_User,,,,"SECTION_TITLE: Purpose and Benefits
CONTENT:
[
{""section"": ""Definition"", ""element"": ""Digital Solution"", ""description"": ""Aconstruct composed of IT Products and potentially processes, methods, and organizational elements""},
{""section"": ""Definition"", ""element"": ""IT Product"", ""description"": ""Application, service, or platform with supporting technologies""},
{""section"": ""Composition"", ""element"": ""Modular Structure"", ""description"": ""Multiple IT Products form a Digital Solution""},
{""section"": ""Compositi",Digital_Solution,serves,External_User,unknown_relation,unknown_relation,
17|Architectural_Object|realizedBy|Architecture_Modeling_Process,,,,"SECTION_TITLE: Overview
CONTENT:
Architectural and regulatory information systems are modeled in LeanIX across all TOGAF architecture levels. This is achieved through the creation, maintenance, and assignment of architectural objects.",Architectural_Object,realizedBy,Architecture_Modeling_Process,unknown_relation,unknown_relation,
240|Enterprise_Architecture_Modeling|alignedWith|Architecture_Vision_Phase,,,,"SECTION_TITLE: Structure Summary – Interface Fact Sheets in LeanIX
CONTENT:
Metamodel View The diagram shows the possible relations between the entities that can be used to model an Interface in the context of the appropriate architecture level. LLM-Ready Description LLM-Ready Description: Metamodel View – Interface Overview The diagram titled ""Metamodel View Interface"" illustrates the conceptual relationships between Initiatives, IT Products/Platforms, and Interfaces within the context of enter",Enterprise_Architecture_Modeling,alignedWith,Architecture_Vision_Phase,unknown_relation,unknown_relation,
22|Business_Architecture|captures|Process,,,,"SECTION_TITLE: Business Architecture (TOGAF® B)
CONTENT:
• Organization (Color: Black) • Business Capability (Color: Grey) • Process (Color: Green) Captures the business structure, capabilities, and operational processes.",Business_Architecture,captures,Process,unknown_relation,unknown_relation,
171|IT_Product|represents|Bundle_of_Technical_Component,,,,"SECTION_TITLE: Characteristics of an IT Product
CONTENT:
• It bundles business functions in a logically and functionally bounded way to process data.
• It may include custom-developed elements such as application code, configuration data, macros, etc.
• It can be a third-party software product, used as SaaS, cloud-based, or on-premises.
• It may represent a bundle of technical components that together provide infrastructure or business platforms.",IT_Product,represents,Bundle_of_Technical_Component,unknown_relation,unknown_relation,
258|Process|connectedTo|Organization,,,,"SECTION_TITLE: 2. TOGAF® B – Business Architecture (Middle Section)
CONTENT:
• Elements: o Business Capability (pink box) o IT Product (pink box) o Process (pink box) o Interface (pink box) o Digital Solution (pink box) • Relationship to Organization: o All elements are connected to Organization via arrows labeled ""responsible / affected"".",Process,connectedTo,Organization,unknown_relation,unknown_relation,
14|Technical_Delivery|alignedWith|Business_Strategy,,,,"SECTION_TITLE: Purpose and Benefits
CONTENT:
• A Digital Solution delivers end-to-end value to internal or external customers.
• Customers do not purchase isolated features or capabilities—they seek complete solutions that fulfill their desired outcomes.
• Digital Solutions enable organizations to align technical delivery with business strategy and customer needs.",Technical_Delivery,alignedWith,Business_Strategy,unknown_relation,unknown_relation,
239|Interface_Fact_Sheet|models|Data_Exchange,,,,"SECTION_TITLE: Structure Summary – Interface Fact Sheets in LeanIX
CONTENT:
[
{""section"": ""Introduction"", ""key_concept"": ""Interface Fact Sheet"", ""description__rule"": ""Object in LeanIX to model data exchange between IT Products"", ""examples"": ""—""},
{""section"": ""Conceptual Overview"", ""key_concept"": ""Business-oriented modeling"", ""description__rule"": ""Focus on data flow, transfer type, frequency, and IT components"", ""examples"": ""—""},
{""section"": ""Interface Creation"", ""key_concept"": ""Consumer modeling",Interface_Fact_Sheet,models,Data_Exchange,unknown_relation,unknown_relation,
78|IT_Product|managedWithin|Portfolio,,,,"SECTION_TITLE: Responsibility at the Process Organization Level
CONTENT:
Many IT products and applications at Porsche are developed and operated by Agile Release Trains (ARTs). Others are managed within specific portfolios. Assignment Guidelines • If an ART is responsible for a product (or any other relevant Fact Sheet type), this responsibility must be explicitly documented in LeanIX by assigning the corresponding ART Fact Sheet. • If the responsibility lies with a single portfolio—as is often ",IT_Product,managedWithin,Portfolio,unknown_relation,unknown_relation,
