sample_id,doc_id,chunk_id,section_title,source_text_snippet,subject,predicate,object,reason_for_novelty,legacy_reason,human_label
175|Data_Exchange|occursBetween|IT_Product,,,,"SECTION_TITLE: Structure Summary – Interface Fact Sheets in LeanIX
CONTENT:
[
{""section"": ""Introduction"", ""key_concept"": ""Interface Fact Sheet"", ""description__rule"": ""Object in LeanIX to model data exchange between IT Products"", ""examples"": ""—""},
{""section"": ""Conceptual Overview"", ""key_concept"": ""Business-oriented modeling"", ""description__rule"": ""Focus on data flow, transfer type, frequency, and IT components"", ""examples"": ""—""},
{""section"": ""Interface Creation"", ""key_concept"": ""Consumer modeling",Data_Exchange,occursBetween,IT_Product,unknown_relation,unknown_relation,
17|Business_Architecture|combinedWith|Information_Systems_Architecture,,,,"SECTION_TITLE: Together, the Business Architecture and Information Systems Architecture form
CONTENT:
the Business Architecture domain. Technology Architecture This layer supports the technical realization of applications. Applications from the Application Architecture require infrastructure for procurement, integration, and operation. Relevant objects include: • IT Product (Platform) • IT Component • Vendor • Tech Capability LLM-Ready Structure Summary Image Description: TOGAF-Based Architectur",Business_Architecture,combinedWith,Information_Systems_Architecture,unknown_relation,unknown_relation,
2|Business_Capability|enables|Business_Aligned_IT_Landscape_Analysis,,,,"SECTION_TITLE: Structure Summary
CONTENT:
Purpose and Benefits of Business Capabilities Role in Application Classification Business capabilities are used to determine whether a software-based system should be classified as a business application or merely a technical component. This classification is essential for maintaining a consistent and business-aligned IT landscape. Without a complete and validated capability map, it is difficult to analyze the IT landscape from a business perspective.",Business_Capability,enables,Business_Aligned_IT_Landscape_Analysis,unknown_relation,unknown_relation,
216|Digital_Solution|linkedTo|Organizational_Unit,,,,"SECTION_TITLE: Modeling Guidelines
CONTENT:
A Digital Solution must follow the naming convention defined by the ART that owns it. This ensures consistency and traceability across the portfolio. Each Digital Solution must include at least one assigned IT Product. These IT Products represent the technical building blocks that deliver business functionality and are developed and maintained by agile teams within the ART.
These IT Products represent the technical building blocks that deliver business",Digital_Solution,linkedTo,Organizational_Unit,unknown_relation,unknown_relation,
52|Application|residesIn|Application_Architecture,,,,"SECTION_TITLE: Structure Summary: Interface Modeling in
CONTENT:
[
{""section"": ""Context"", ""element"": ""Domain"", ""description"": ""Enterprise Architecture, SAFe, LeanIX""},
{""section"": ""Context"", ""element"": ""Purpose"", ""description"": ""Visualize how interfaces connect applications and link application and data architecture""},
{""section"": ""Core Concept"", ""element"": ""Interface"", ""description"": ""Logical connection between two applications for data exchange""},
{""section"": ""Core Concept"", ""element"": ""Applic",Application,residesIn,Application_Architecture,unknown_relation,unknown_relation,
43|Initiative|hasCharacteristic|Time_Bound,,,,"SECTION_TITLE: Structure Summary
CONTENT:
[
{""element"": ""Entity Type"", ""description"": ""Initiative""},
{""element"": ""Core Purpose"", ""description"": ""Drives change and supports the realization of objectives""},
{""element"": ""Characteristics"", ""description"": ""Time-bound, resource- intensive, architecture- relevant""},
{""element"": ""Strategic Role"", ""description"": ""Operationalizes objectives and enables traceable execution""},
{""element"": ""Stakeholders"", ""description"": ""Business Analysts, Enterprise Archite",Initiative,hasCharacteristic,Time_Bound,unknown_relation,unknown_relation,
38|IT_Product|integratesWith|Enterprise_Tool,,,,"SECTION_TITLE: Purpose and Benefits
CONTENT:
From an enterprise architecture perspective, the IT Product is the central modeling object across all architecture layers. It enables: • Functional development planning • Portfolio and release planning • Centralized documentation of: o Security o Compliance o Data protection o Governance requirements The IT Product is the primary reference object for ensuring: • Compliance with the Federal Data Protection Act (BDSG) • Fulfillment of corporate due dili",IT_Product,integratesWith,Enterprise_Tool,unknown_relation,unknown_relation,
24|Information_Systems_Architecture|includes|Digital_Solution,,,,"SECTION_TITLE: Architecture Levels and Objects
CONTENT:
[
{""togaf_layer"": ""Architecture Vision"", ""leanix_objects"": ""Objectives, Initiatives (Projects)"", ""notes"": ""Represents strategy and transformation""},
{""togaf_layer"": ""Business Architecture"", ""leanix_objects"": ""Organization, Business Capability, Process"", ""notes"": ""Process and Organization modeled outside LeanIX""},
{""togaf_layer"": ""Information Systems Architecture"", ""leanix_objects"": ""Digital Solution, IT Product (Application, Platform, Group",Information_Systems_Architecture,includes,Digital_Solution,unknown_relation,unknown_relation,
216|IT_Product|developedBy|Agile_Team,,,,"SECTION_TITLE: Modeling Guidelines
CONTENT:
A Digital Solution must follow the naming convention defined by the ART that owns it. This ensures consistency and traceability across the portfolio. Each Digital Solution must include at least one assigned IT Product. These IT Products represent the technical building blocks that deliver business functionality and are developed and maintained by agile teams within the ART.
These IT Products represent the technical building blocks that deliver business",IT_Product,developedBy,Agile_Team,unknown_relation,unknown_relation,
16|Application_Architecture|includes|Interface,,,,"SECTION_TITLE: Architecture Levels
CONTENT:
• Objectives • Initiatives (Projects) Business Architecture This layer includes the following objects:
• Organization • Business Capability • Process Note: Except for Business Capabilities and their mappings, these elements are created and maintained outside of LeanIX as part of business process modeling.
• Digital Solution • IT Product (Application, Platform, Group Application) • Interface These are part of the Application Architecture. Additionally:
",Application_Architecture,includes,Interface,unknown_relation,unknown_relation,
