sample_id,doc_id,chunk_id,section_title,source_text_snippet,subject,predicate,object,reason_for_novelty,legacy_reason,human_label
301|Digital_Solution|consumed_by|Organization,,,,"SECTION_TITLE: Structural Overview
CONTENT:
The diagram is divided into two main sections, each enclosed in a yellow frame: Upper Section • Contains a pink rectangle labeled ""Initiative"" • Connected via a labeled line ""affected"" to the Digital Solution in the lower section Lower Section • Central element: Green rectangle labeled ""Digital Solution"" • Connected to three pink rectangles: o ""IT Product"" (connected via ""consists of"") o ""Business Capability"" (connected via ""affected"") o ""Organization""",Digital_Solution,consumed_by,Organization,unknown_relation,unknown_relation,
37|Container_Platform|hosts|Containerized_Applications,,,,"SECTION_TITLE: Purpose and benefits
CONTENT:
[
{""category"": ""Database"", ""example"": ""Microsoft SQL Server"", ""type"": ""Commercial (COTS)"", ""description"": ""Arelational database platform used to store and manage structured data.""},
{""category"": ""Middleware"", ""example"": ""Apache Kafka"", ""type"": ""Open Source / In-house"", ""description"": ""Adistributed streaming platform for real-time data pipelines and messaging.""},
{""category"": ""Operating System"", ""example"": ""Red Hat Enterprise Linux"", ""type"": ""Commercia",Container_Platform,hosts,Containerized_Applications,unknown_relation,unknown_relation,
7|Business_Capability|alignedWith|Strategy,,,,"SECTION_TITLE: Structure Summary
CONTENT:
[
{""section"": ""Application Classification"", ""key_concept"": ""Capability ↔ System Type"", ""description"": ""Distinguishes business application vs. technical component""},
{""section"": ""Conceptual Separation"", ""key_concept"": ""Capability ≠ Process"", ""description"": ""\""What\"" vs. \""How\"" distinction""},
{""section"": ""Analytical Use"", ""key_concept"": ""Capability → IT Landscape"", ""description"": ""Identifies gaps, overlaps, and optimization potential""},
{""section"": ""Lifec",Business_Capability,alignedWith,Strategy,unknown_relation,unknown_relation,
383|Process_Organization|partOf|Organization,,,,"SECTION_TITLE: Definition: Organization
CONTENT:
Organizations represent the users/owners of Applications or other business objetcts that can be modeled within different dimensions to create hierarchical structures. In Porsche AG's LeanIX, we distinguish between the elements of the structural organization and the elements of the process organization according to SAFe. The elements of the organizational structure represent the organizational structure of Porsche AG and its subsidiaries. The proce",Process_Organization,partOf,Organization,unknown_relation,unknown_relation,
75|Organizational_Responsibility|definedAt|Process_Organization_Level,,,,"SECTION_TITLE: Organizational Responsibilities
CONTENT:
Each Fact Sheet in LeanIX must include an assignment of organizational responsibility. This responsibility can be defined at two levels: • Organizational Structure Level (e.g., departments, business units) • Process Organization Level (e.g., Agile Release Trains, portfolios) For certain Fact Sheet types, a distinction may also be made between functional (business) responsibility and technical (IT) responsibility. At least one form of respon",Organizational_Responsibility,definedAt,Process_Organization_Level,unknown_relation,unknown_relation,
63|Interface|linkedTo|Application,,,,"SECTION_TITLE: Structure Summary: Interface Modeling in
CONTENT:
[
{""section"": ""Context"", ""element"": ""Domain"", ""description"": ""Enterprise Architecture, SAFe, LeanIX""},
{""section"": ""Context"", ""element"": ""Purpose"", ""description"": ""Visualize how interfaces connect applications and link application and data architecture""},
{""section"": ""Core Concept"", ""element"": ""Interface"", ""description"": ""Logical connection between two applications for data exchange""},
{""section"": ""Core Concept"", ""element"": ""Applic",Interface,linkedTo,Application,unknown_relation,unknown_relation,
61|Interface|linkedTo|IT_Product,,,,"SECTION_TITLE: Definition: Interface
CONTENT:
In the context of enterprise architecture, an Interface represents a logical connection between two IT Products. It models the way in which data is exchanged between these IT Products, including the direction, frequency, and type of information being transferred.",Interface,linkedTo,IT_Product,unknown_relation,unknown_relation,
41|IT_Component|partOf|Technical_Architecture,,,,"SECTION_TITLE: Purpose and benefits
CONTENT:
Structure Summary Examples of IT Components To support a clear and practical understanding of the concept of IT components, this section provides categorized examples that reflect real-world technologies commonly used in enterprise IT landscapes. These examples illustrate how IT components—whether commercial, open source, or developed in-house—serve as foundational building blocks within the technical architecture of IT products. Each example is mappe",IT_Component,partOf,Technical_Architecture,unknown_relation,unknown_relation,
37|Security_Component|manages|Identity_and_Access,,,,"SECTION_TITLE: Purpose and benefits
CONTENT:
[
{""category"": ""Database"", ""example"": ""Microsoft SQL Server"", ""type"": ""Commercial (COTS)"", ""description"": ""Arelational database platform used to store and manage structured data.""},
{""category"": ""Middleware"", ""example"": ""Apache Kafka"", ""type"": ""Open Source / In-house"", ""description"": ""Adistributed streaming platform for real-time data pipelines and messaging.""},
{""category"": ""Operating System"", ""example"": ""Red Hat Enterprise Linux"", ""type"": ""Commercia",Security_Component,manages,Identity_and_Access,unknown_relation,unknown_relation,
303|Enterprise_Architecture|facilitatesAlignmentBetween|Delivery_Structure,,,,"SECTION_TITLE: Modeling Intent
CONTENT:
This metamodel provides a structured view of how digital solutions are defined and contextualized within enterprise architecture. It supports traceability from strategic initiatives to technical implementation and organizational responsibility, facilitating alignment between SAFe delivery structures and TOGAF® architectural principles.",Enterprise_Architecture,facilitatesAlignmentBetween,Delivery_Structure,unknown_relation,unknown_relation,
