sample_id,doc_id,chunk_id,section_title,source_text_snippet,subject,predicate,object,reason_for_novelty,legacy_reason,human_label
104|Business_Process|linkedTo|Application,,,,"SECTION_TITLE: System Integration: LeanIX ↔ BIC
CONTENT:
To support enterprise architecture modeling, especially the business architecture layer, LeanIX relies on the availability of active business processes. For this reason, a synchronization interface is in place: Process Import from BIC to LeanIX • All active business processes modeled in BIC are automatically imported into LeanIX. • These processes are available in LeanIX for reference and linkage to other architectural elements (e.g., appl",Business_Process,linkedTo,Application,unknown_relation,unknown_relation,
37|API_Gateway|manages|API,,,,"SECTION_TITLE: Purpose and benefits
CONTENT:
[
{""category"": ""Database"", ""example"": ""Microsoft SQL Server"", ""type"": ""Commercial (COTS)"", ""description"": ""Arelational database platform used to store and manage structured data.""},
{""category"": ""Middleware"", ""example"": ""Apache Kafka"", ""type"": ""Open Source / In-house"", ""description"": ""Adistributed streaming platform for real-time data pipelines and messaging.""},
{""category"": ""Operating System"", ""example"": ""Red Hat Enterprise Linux"", ""type"": ""Commercia",API_Gateway,manages,API,unknown_relation,unknown_relation,
167|Traceability|connects|Strategic_Initiative,,,,"SECTION_TITLE: Purpose: This metamodel is designed to support enterprise architecture modeling in LeanIX
CONTENT:
by clearly defining how initiatives, business structures, and technical components interrelate. It enables traceability from strategic initiatives down to the technical implementation, supporting impact analysis, capability mapping, and IT landscape planning.",Traceability,connects,Strategic_Initiative,unknown_relation,unknown_relation,
295|Digital_Solution|linkedTo|Business_Capability,,,,"SECTION_TITLE: Modeling Guidelines
CONTENT:
These IT Products represent the technical building blocks that deliver business functionality and are developed and maintained by agile teams within the ART. To complete the modeling of a Digital Solution, the responsible ART must be explicitly assigned. Optionally, a unit from the organizational structure (e.g., a department or business unit) can also be linked to the solution. Additionally, it is possible—but not mandatory—to link the Digital Solutio",Digital_Solution,linkedTo,Business_Capability,unknown_relation,unknown_relation,
12|Digital_Solution|developedWithin|Agile_Release_Train,,,,"SECTION_TITLE: Characteristics of a Digital Solution
CONTENT:
• Consists of IT Products Each IT Product is an application, business service, or business platform, including its associated technologies. These are delivered to internal users (employees) and/or external users (customers).
• Supports Business Capabilities IT Products enable business capabilities, processes, and data entities.
• Enables Operational Value Streams (OVS) Digital Solutions are designed to support and enhance OVS by deliv",Digital_Solution,developedWithin,Agile_Release_Train,unknown_relation,unknown_relation,
12|Agile_Team|partOf|Development_Value_Stream,,,,"SECTION_TITLE: Characteristics of a Digital Solution
CONTENT:
• Consists of IT Products Each IT Product is an application, business service, or business platform, including its associated technologies. These are delivered to internal users (employees) and/or external users (customers).
• Supports Business Capabilities IT Products enable business capabilities, processes, and data entities.
• Enables Operational Value Streams (OVS) Digital Solutions are designed to support and enhance OVS by deliv",Agile_Team,partOf,Development_Value_Stream,unknown_relation,unknown_relation,
239|Business_Oriented_Modeling|focusesOn|IT_Component,,,,"SECTION_TITLE: Structure Summary – Interface Fact Sheets in LeanIX
CONTENT:
[
{""section"": ""Introduction"", ""key_concept"": ""Interface Fact Sheet"", ""description__rule"": ""Object in LeanIX to model data exchange between IT Products"", ""examples"": ""—""},
{""section"": ""Conceptual Overview"", ""key_concept"": ""Business-oriented modeling"", ""description__rule"": ""Focus on data flow, transfer type, frequency, and IT components"", ""examples"": ""—""},
{""section"": ""Interface Creation"", ""key_concept"": ""Consumer modeling",Business_Oriented_Modeling,focusesOn,IT_Component,unknown_relation,unknown_relation,
22|Business_Architecture|captures|Organization,,,,"SECTION_TITLE: Business Architecture (TOGAF® B)
CONTENT:
• Organization (Color: Black) • Business Capability (Color: Grey) • Process (Color: Green) Captures the business structure, capabilities, and operational processes.",Business_Architecture,captures,Organization,unknown_relation,unknown_relation,
155|IT_Component|linkedTo|IT_Product,,,,"SECTION_TITLE: IT Product Assignment
CONTENT:
Each IT component must be linked to one or more IT Products. Best practice: Assign components from the IT Product perspective.",IT_Component,linkedTo,IT_Product,unknown_relation,unknown_relation,
258|Interface|connectedTo|Organization,,,,"SECTION_TITLE: 2. TOGAF® B – Business Architecture (Middle Section)
CONTENT:
• Elements: o Business Capability (pink box) o IT Product (pink box) o Process (pink box) o Interface (pink box) o Digital Solution (pink box) • Relationship to Organization: o All elements are connected to Organization via arrows labeled ""responsible / affected"".",Interface,connectedTo,Organization,unknown_relation,unknown_relation,
