sample_id,human_label
104|Business_Process|linkedTo|Application,PARTIALLY_SUPPORTED
37|API_Gateway|manages|API,UNSUPPORTED
167|Traceability|connects|Strategic_Initiative,PARTIALLY_SUPPORTED
295|Digital_Solution|linkedTo|Business_Capability,SUPPORTED
12|Digital_Solution|developedWithin|Agile_Release_Train,UNSUPPORTED
12|Agile_Team|partOf|Development_Value_Stream,UNSUPPORTED
239|Business_Oriented_Modeling|focusesOn|IT_Component,SUPPORTED
22|Business_Architecture|captures|Organization,SUPPORTED
155|IT_Component|linkedTo|IT_Product,SUPPORTED
258|Interface|connectedTo|Organization,SUPPORTED
12|Digital_Solution|managedWithin|Portfolio,UNSUPPORTED
239|Data_Exchange|occursBetween|IT_Product,SUPPORTED
48|IT_Product|documents|Governance_Requirement,SUPPORTED
7|Business_Capability|alignedWith|Strategy,UNSUPPORTED
14|Digital_Solution|aligns|Business_Strategy,PARTIALLY_SUPPORTED
230|IT_Product|interactsWith|External_System,SUPPORTED
207|IT_Component|linkedTo|Product,UNSUPPORTED
12|Digital_Solution|developedBy|Agile_Team,UNSUPPORTED
52|Initiative|links|Strategic_Intent,PARTIALLY_SUPPORTED
296|Digital_Solution|alignedWith|Value_Stream,SUPPORTED
239|Interface|separates|Technical_Layer,UNSUPPORTED
220|Interface|integrates|IT_Product,UNSUPPORTED
371|Initiative|linkedTo|Objective,SUPPORTED
258|IT_Product|connectedTo|Organization,SUPPORTED
37|Runtime_Environment|runs|Application,UNSUPPORTED
87|Portfolio|consists_of|Product_Application,SUPPORTED
45|Application|realizes|Business_Capability,PARTIALLY_SUPPORTED
41|IT_Component|classifies|Database,UNSUPPORTED
398|Capability_Model|uses|Domain_Architect,UNSUPPORTED
19|Information_Systems_Architecture|Parent|Business_Architecture_Domain,UNSUPPORTED
393|Business_Process|affects|Application,PARTIALLY_SUPPORTED
398|Capability_Model|uses|Enterprise_Architect,UNSUPPORTED
209|Governance_Information|consists_of|Data_Protection,SUPPORTED
18|Business_Architecture|consists_of|Business_Capability,SUPPORTED
87|Organization_Unit|consists_of|Sub_Unit,SUPPORTED
14|Digital_Solution|provides|End_to_End_Value,SUPPORTED
386|Organization|supports|Impact_Analysis,UNSUPPORTED
46|Application|provides|API,PARTIALLY_SUPPORTED
123|IT_Component|status_of|Lifecycle,UNSUPPORTED
233|IT_Product|consumes|External_Interface,SUPPORTED
46|Platform|consists_of|Platform,UNSUPPORTED
379|Capability|supports|Objective,PARTIALLY_SUPPORTED
41|IT_Component|supports|IT_Solution,UNSUPPORTED
391|Business_Operation|requires|IT_System,PARTIALLY_SUPPORTED
163|Initiative|affects|Business_Architecture_Element,SUPPORTED
389|Business_Process|consists_of|Business_Process,SUPPORTED
193|Application|consists_of|Application,SUPPORTED
62|Interface|supports|Data_Governance,UNSUPPORTED
37|Runtime_Environment|provides|Libraries_and_Components,UNSUPPORTED
398|Capability_Model|uses|Product_Team,UNSUPPORTED
