sample_id,doc_id,chunk_id,section_title,source_text_snippet,subject,predicate,object,reason_for_novelty,legacy_reason,human_label
175|Interface_Fact_Sheet|represents|Logical_Interface,,,,"SECTION_TITLE: Structure Summary – Interface Fact Sheets in LeanIX
CONTENT:
[
{""section"": ""Introduction"", ""key_concept"": ""Interface Fact Sheet"", ""description__rule"": ""Object in LeanIX to model data exchange between IT Products"", ""examples"": ""—""},
{""section"": ""Conceptual Overview"", ""key_concept"": ""Business-oriented modeling"", ""description__rule"": ""Focus on data flow, transfer type, frequency, and IT components"", ""examples"": ""—""},
{""section"": ""Interface Creation"", ""key_concept"": ""Consumer modeling",Interface_Fact_Sheet,represents,Logical_Interface,unknown_relation,unknown_relation,
38|IT_Product|documents|Compliance_Requirements,,,,"SECTION_TITLE: Purpose and Benefits
CONTENT:
From an enterprise architecture perspective, the IT Product is the central modeling object across all architecture layers. It enables: • Functional development planning • Portfolio and release planning • Centralized documentation of: o Security o Compliance o Data protection o Governance requirements The IT Product is the primary reference object for ensuring: • Compliance with the Federal Data Protection Act (BDSG) • Fulfillment of corporate due dili",IT_Product,documents,Compliance_Requirements,unknown_relation,unknown_relation,
10|Digital_Solution|developedWithin|Agile_Release_Train,,,,"SECTION_TITLE: Characteristics of a Digital Solution
CONTENT:
• Consists of IT Products Each IT Product is an application, business service, or business platform, including its associated technologies. These are delivered to internal users (employees) and/or external users (customers).
• Supports Business Capabilities IT Products enable business capabilities, processes, and data entities.
• Enables Operational Value Streams (OVS) Digital Solutions are designed to support and enhance OVS by deliv",Digital_Solution,developedWithin,Agile_Release_Train,unknown_relation,unknown_relation,
216|Digital_Solution|linkedTo|Processual_Unit,,,,"SECTION_TITLE: Modeling Guidelines
CONTENT:
A Digital Solution must follow the naming convention defined by the ART that owns it. This ensures consistency and traceability across the portfolio. Each Digital Solution must include at least one assigned IT Product. These IT Products represent the technical building blocks that deliver business functionality and are developed and maintained by agile teams within the ART.
These IT Products represent the technical building blocks that deliver business",Digital_Solution,linkedTo,Processual_Unit,unknown_relation,unknown_relation,
66|Parent_Child_Relation|structures|Organizational_Unit,,,,"SECTION_TITLE: Modeling Hierarchies with Parent/Child Relations in
CONTENT:
LeanIX In LeanIX, Parent/Child relations are used to model hierarchical dependencies between Fact Sheets. These relations help structure complex systems, portfolios, or organizational units by defining logical containment or ownership hierarchies.",Parent_Child_Relation,structures,Organizational_Unit,unknown_relation,unknown_relation,
66|Parent_Child_Relation|structures|Complex_System,,,,"SECTION_TITLE: Modeling Hierarchies with Parent/Child Relations in
CONTENT:
LeanIX In LeanIX, Parent/Child relations are used to model hierarchical dependencies between Fact Sheets. These relations help structure complex systems, portfolios, or organizational units by defining logical containment or ownership hierarchies.",Parent_Child_Relation,structures,Complex_System,unknown_relation,unknown_relation,
66|Hierarchical_Dependency|existsBetween|Fact_Sheet,,,,"SECTION_TITLE: Modeling Hierarchies with Parent/Child Relations in
CONTENT:
LeanIX In LeanIX, Parent/Child relations are used to model hierarchical dependencies between Fact Sheets. These relations help structure complex systems, portfolios, or organizational units by defining logical containment or ownership hierarchies.",Hierarchical_Dependency,existsBetween,Fact_Sheet,unknown_relation,unknown_relation,
38|IT_Product|documents|Data_Protection_Requirements,,,,"SECTION_TITLE: Purpose and Benefits
CONTENT:
From an enterprise architecture perspective, the IT Product is the central modeling object across all architecture layers. It enables: • Functional development planning • Portfolio and release planning • Centralized documentation of: o Security o Compliance o Data protection o Governance requirements The IT Product is the primary reference object for ensuring: • Compliance with the Federal Data Protection Act (BDSG) • Fulfillment of corporate due dili",IT_Product,documents,Data_Protection_Requirements,unknown_relation,unknown_relation,
269|Initiative|linkedTo|Objective,,,,"SECTION_TITLE: Initiative Linkage
CONTENT:
• Initiatives must be time-bound and reflect the implementation of the Objective.
• At least one initiative must be linked to each Objective.
• This linkage ensures traceability from strategic intent to execution.",Initiative,linkedTo,Objective,unknown_relation,unknown_relation,
38|IT_Product|documents|Security_Requirements,,,,"SECTION_TITLE: Purpose and Benefits
CONTENT:
From an enterprise architecture perspective, the IT Product is the central modeling object across all architecture layers. It enables: • Functional development planning • Portfolio and release planning • Centralized documentation of: o Security o Compliance o Data protection o Governance requirements The IT Product is the primary reference object for ensuring: • Compliance with the Federal Data Protection Act (BDSG) • Fulfillment of corporate due dili",IT_Product,documents,Security_Requirements,unknown_relation,unknown_relation,
213|IT_Product|operatedBy|Agile_Release_Train,,,,"SECTION_TITLE: Responsibility at the Process Organization Level
CONTENT:
Many IT products and applications at Porsche are developed and operated by Agile Release Trains (ARTs). Others are managed within specific portfolios. Assignment Guidelines • If an ART is responsible for a product (or any other relevant Fact Sheet type), this responsibility must be explicitly documented in LeanIX by assigning the corresponding ART Fact Sheet. • If the responsibility lies with a single portfolio—as is often ",IT_Product,operatedBy,Agile_Release_Train,unknown_relation,unknown_relation,
153|IT_Component|linkedTo|Product,,,,"SECTION_TITLE: Technical Architecture
CONTENT:
• Software components • Platforms • Hosting type and provider (mandatory) On-Premises Architecture Model the following components:
• Deployed software product • OS platforms (e.g., Windows, Linux) • Databases and DBMS platforms • Runtime environments (e.g., Tomcat) • Container platforms • Required services Ensure all components are documented in the correct version.
• Only deployed software products need to be modeled manually.
• For SaaS products, ",IT_Component,linkedTo,Product,unknown_relation,unknown_relation,
11|IT_Product|developedWithin|Development_Value_Stream,,,,"SECTION_TITLE: Purpose and Benefits
CONTENT:
[
{""section"": ""Definition"", ""element"": ""Digital Solution"", ""description"": ""Aconstruct composed of IT Products and potentially processes, methods, and organizational elements""},
{""section"": ""Definition"", ""element"": ""IT Product"", ""description"": ""Application, service, or platform with supporting technologies""},
{""section"": ""Composition"", ""element"": ""Modular Structure"", ""description"": ""Multiple IT Products form a Digital Solution""},
{""section"": ""Compositi",IT_Product,developedWithin,Development_Value_Stream,unknown_relation,unknown_relation,
165|Interface|connects|IT_Product,,,,"SECTION_TITLE: Introduction
CONTENT:
This document outlines the modeling guidelines for Interface Fact Sheets within the enterprise architecture framework at Porsche. It builds upon the PAG General Modeling Guidelines and provides specific instructions for creating and maintaining Interface Fact Sheets in LeanIX. The creation process follows the general fact sheet creation procedure described in ""How to Create a Fact Sheet."" Description In LeanIX, interfaces are modeled from a business-oriented ",Interface,connects,IT_Product,unknown_relation,unknown_relation,
120|Component|linkedTo|Technical_Capability,,,,"SECTION_TITLE: Structure Summary
CONTENT:
[
{""field"": ""Name"", ""description"": ""Component name"", ""required"": """", ""controlled_vocabulary"": ""—"", ""notes"": ""—""},
{""field"": ""Category"", ""description"": ""Type of component"", ""required"": """", ""controlled_vocabulary"": ""Hardware, IaaS, PaaS, SaaS, Service, Software"", ""notes"": ""—""},
{""field"": ""Version"", ""description"": ""Major version only"", ""required"": """", ""controlled_vocabulary"": ""Format: X.x"", ""notes"": ""Minor/patch optional only if significant""},
{""field"": ""De",Component,linkedTo,Technical_Capability,unknown_relation,unknown_relation,
10|Digital_Solution|managedWithin|Portfolio,,,,"SECTION_TITLE: Characteristics of a Digital Solution
CONTENT:
• Consists of IT Products Each IT Product is an application, business service, or business platform, including its associated technologies. These are delivered to internal users (employees) and/or external users (customers).
• Supports Business Capabilities IT Products enable business capabilities, processes, and data entities.
• Enables Operational Value Streams (OVS) Digital Solutions are designed to support and enhance OVS by deliv",Digital_Solution,managedWithin,Portfolio,unknown_relation,unknown_relation,
285|Business_Process_Modeling|isElementOf|Business_Architecture,,,,"SECTION_TITLE: Purpose and Benefits of Business Process
CONTENT:
Modeling Strategic and Operational Insight Business process modeling is a key element of the business architecture. It helps identify: • Processes that are strategically or economically critical, • Processes that are under pressure to change due to transformation, regulation, or inefficiencies. This insight supports prioritization and investment decisions across business and IT.",Business_Process_Modeling,isElementOf,Business_Architecture,unknown_relation,unknown_relation,
216|Digital_Solution|linkedTo|Organizational_Unit,,,,"SECTION_TITLE: Modeling Guidelines
CONTENT:
A Digital Solution must follow the naming convention defined by the ART that owns it. This ensures consistency and traceability across the portfolio. Each Digital Solution must include at least one assigned IT Product. These IT Products represent the technical building blocks that deliver business functionality and are developed and maintained by agile teams within the ART.
These IT Products represent the technical building blocks that deliver business",Digital_Solution,linkedTo,Organizational_Unit,unknown_relation,unknown_relation,
60|IT_Product|managedWithin|Portfolio,,,,"SECTION_TITLE: Responsibility at the Process Organization Level
CONTENT:
Many IT products and applications at Porsche are developed and operated by Agile Release Trains (ARTs). Others are managed within specific portfolios. Assignment Guidelines • If an ART is responsible for a product (or any other relevant Fact Sheet type), this responsibility must be explicitly documented in LeanIX by assigning the corresponding ART Fact Sheet. • If the responsibility lies with a single portfolio—as is often ",IT_Product,managedWithin,Portfolio,unknown_relation,unknown_relation,
235|Child_Fact_Sheet|inheritsFrom|Parent_Fact_Sheet,,,,"SECTION_TITLE: Usage Guidelines
CONTENT:
• A Parent Fact Sheet represents a higher-level entity that logically contains or governs one or more Child Fact Sheets.
• A Child Fact Sheet is a subordinate entity that inherits context or structure from its parent.",Child_Fact_Sheet,inheritsFrom,Parent_Fact_Sheet,unknown_relation,unknown_relation,
120|Component|hasVersioning|Versioning,,,,"SECTION_TITLE: Structure Summary
CONTENT:
[
{""field"": ""Name"", ""description"": ""Component name"", ""required"": """", ""controlled_vocabulary"": ""—"", ""notes"": ""—""},
{""field"": ""Category"", ""description"": ""Type of component"", ""required"": """", ""controlled_vocabulary"": ""Hardware, IaaS, PaaS, SaaS, Service, Software"", ""notes"": ""—""},
{""field"": ""Version"", ""description"": ""Major version only"", ""required"": """", ""controlled_vocabulary"": ""Format: X.x"", ""notes"": ""Minor/patch optional only if significant""},
{""field"": ""De",Component,hasVersioning,Versioning,unknown_relation,unknown_relation,
