sample_id,doc_id,chunk_id,section_title,source_text_snippet,subject,predicate,object,reason_for_novelty,legacy_reason,human_label
45|IT_Product|classifiedAs|Application,,,,"SECTION_TITLE: Definition: IT Product
CONTENT:
At Porsche, an IT Product is classified as either an Application or a Platform. Regardless of category, each IT Product must have clearly defined ownership and accountability. Applikationen An Application is an IT Product that delivers specific business functionality to support business processes—for example, by automating process steps. Applications contribute to the realization of business capabilities and are aligned with the value creation proce",IT_Product,classifiedAs,Application,unknown_relation,unknown_relation,
13|IT_Product|type|Application,,,,"SECTION_TITLE: Purpose and Benefits
CONTENT:
[
{""section"": ""Definition"", ""element"": ""Digital Solution"", ""description"": ""Aconstruct composed of IT Products and potentially processes, methods, and organizational elements""},
{""section"": ""Definition"", ""element"": ""IT Product"", ""description"": ""Application, service, or platform with supporting technologies""},
{""section"": ""Composition"", ""element"": ""Modular Structure"", ""description"": ""Multiple IT Products form a Digital Solution""},
{""section"": ""Compositi",IT_Product,type,Application,unknown_relation,unknown_relation,
160|Linked_IT_Products|notes|Assign_from_product_side,,,,"SECTION_TITLE: Structure Summary
CONTENT:
[
{""field"": ""Name"", ""description"": ""Component name"", ""required"": """", ""controlled_vocabulary"": ""—"", ""notes"": ""—""},
{""field"": ""Category"", ""description"": ""Type of component"", ""required"": """", ""controlled_vocabulary"": ""Hardware, IaaS, PaaS, SaaS, Service, Software"", ""notes"": ""—""},
{""field"": ""Version"", ""description"": ""Major version only"", ""required"": """", ""controlled_vocabulary"": ""Format: X.x"", ""notes"": ""Minor/patch optional only if significant""},
{""field"": ""De",Linked_IT_Products,notes,Assign_from_product_side,unknown_relation,unknown_relation,
"141|authorized_users|include|users_with_""Architect""_role",,,,"SECTION_TITLE: Specific Modelling Rules and Best Practices
CONTENT:
for an IT Component Authorization to create a component Only authorized users (currently: administrators and users with the ""Architect"" role) are permitted to create IT components in LeanIX. If a product manager identifies a missing component or a new version is required, a request must be submitted via the LeanIX Help Center. All required attributes must be provided accurately.",authorized_users,include,"users_with_""Architect""_role",unknown_relation,unknown_relation,
119|does_not_consist_of_multiple_technical_components|implies|Evaluate_as_single_component,,,,"SECTION_TITLE: Checklist for Classifying Architecture Objects
CONTENT:
[
{""question"": ""1. Does the object provide purely technical functionality without business logic?"", ""if_yes_"": ""→ IT Component"", ""if_no_"": ""→ Proceed to Question 2""},
{""question"": ""2. Does the object directly support a business process?"", ""if_yes_"": ""→ IT Product"", ""if_no_"": ""→ Proceed to Question 3""},
{""question"": ""3. Is the object organizational, physical, or contractual in nature?"", ""if_yes_"": ""→ Not an IT Component"", ""if_",does_not_consist_of_multiple_technical_components,implies,Evaluate_as_single_component,unknown_relation,unknown_relation,
59|responsibility|covers|content,,,,"SECTION_TITLE: Responsible / Subscriptions
CONTENT:
Each Initiative Fact Sheet requires a person in the subscriptions who is responsible for the content and quality of the data. Currently, this person can have the role of Product Owner, Project Manager or Tech Lead. The assignment of type, person and role is done via the subscriptions in the respective fact sheet. Please note The owner organization and the assigned person are solely responsible for the creation and maintenance of an Initiative f",responsibility,covers,content,unknown_relation,unknown_relation,
41|IT_components|type|commercial,,,,"SECTION_TITLE: Purpose and benefits
CONTENT:
Structure Summary Examples of IT Components To support a clear and practical understanding of the concept of IT components, this section provides categorized examples that reflect real-world technologies commonly used in enterprise IT landscapes. These examples illustrate how IT components—whether commercial, open source, or developed in-house—serve as foundational building blocks within the technical architecture of IT products. Each example is mappe",IT_components,type,commercial,unknown_relation,unknown_relation,
398|Capability_Model|helps_optimize|IT_portfolio,,,,"SECTION_TITLE: Purpose and Benefits
CONTENT:
• Increase transparency across the technology stack • Identify redundancies in the IT landscape • Detect whitespots (missing or underrepresented capabilities) Use Cases and Stakeholder Value • Product Teams can use the capability model to identify suitable IT components for their solutions.
• Domain Architects and Enterprise Architects can leverage it to optimize the IT portfolio, reduce duplication, and identify gaps in the technology landscape.
• Bu",Capability_Model,helps_optimize,IT_portfolio,unknown_relation,unknown_relation,
38|Section|exampleCategories|Development_Framework,,,,"SECTION_TITLE: Purpose and benefits
CONTENT:
[
{""field"": ""Section Title"", ""content"": ""Examples of IT Components""},
{""field"": ""Section Type"", ""content"": ""Informative / Reference""},
{""field"": ""Purpose"", ""content"": ""To provide categorized, real-world examples of IT components for better understanding and documentation.""},
{""field"": ""Target Audience"", ""content"": ""Enterprise Architects, Business Analysts, Business Stakeholders""},
{""field"": ""Context"", ""content"": ""Supplementary material to the definiti",Section,exampleCategories,Development_Framework,unknown_relation,unknown_relation,
256|Diagram|hasSection|Horizontal_section_3,,,,"SECTION_TITLE: Diagram Structure:
CONTENT:
The diagram is divided into three horizontal sections, each representing a layer of the TOGAF® framework. At the center of all sections is a green box labeled ""Organization"", which connects to various elements in each layer.",Diagram,hasSection,Horizontal_section_3,unknown_relation,unknown_relation,
